"","GEO_ID","TL_GEO_ID","NAME_E","total_population","white_population","black_aferican_american","american_indian_alaska_native","asian_population","native_hawaiian_pacific_islander","other_population","two_or_more","two_or_more_not_other","two_or_more_other","total_households","family_household","married_couple_family","other_family","other_family_male_householder","other_family_female_householder","nonfamily_household","householder_living_alone","householder_not_alone","total_over_25","no_schooling","nursery_4th","5th_6th","7th_8th","9th_grade","10th_grade","11th_grade","12th_grade_no_diploma","highschool_diploma","GED_or_alt","less_year_college","over_year_college_no_degree","associates_degree","bachelors_degree","masters_degree","professional_school_degree","doctorate_degree","aggregate_yearly_income","total_employed","agriculture_forestry_fishing_hunting_mining","wholesale_trade","retail_trade","transportation_warehousing_utilities","information_occupation","finance_insurance_realestate_rental_leasing","professional_scientific_management_administrative_wastemanagement","educational_healthcare_socialassistance","arts_entertainment_recreation_accommodation_food","other_services_except_public_administration","public_administration","management_business_science_arts_occupations","service_occupations","sales_office_occupations","naturalresources_construction_maintenance_occupations","production_transportation_materialmoving_occupations","NAME_M"
"1","0500000US01003","01003","Baldwin County, Alabama",253507,208150,20974,952,3074,395,5559,14403,9154,5249,105698,73936,57455,16481,4518,11963,31762,27496,4266,184852,2165,91,561,746,2143,2637,2553,3079,42015,11062,13735,25874,18948,39152,14009,3763,2319,10521363300,115586,1418,2852,15353,6270,777,9817,13980,19193,9611,6020,5230,41522,16845,26888,10329,20002,"Baldwin County, Alabama"
"2","0500000US01015","01015","Calhoun County, Alabama",116429,83530,25351,342,1236,0,1428,4542,1752,2790,46310,29472,20559,8913,1744,7169,16838,14806,2032,78420,1376,0,34,1532,2049,1292,2438,1217,19072,4143,6662,12053,7995,10275,6755,985,542,3516740000,49470,334,856,6015,2282,901,2025,3631,13884,3311,2065,1958,18973,7507,8529,3638,10823,"Calhoun County, Alabama"
"3","0500000US01043","01043","Cullman County, Alabama",92016,82279,1022,64,519,0,1557,6575,4756,1819,35961,25232,19807,5425,2184,3241,10729,8507,2222,64307,782,155,85,849,850,3020,1304,1518,17129,4036,6038,8762,8714,7026,3086,503,450,2927736300,41602,1153,821,4026,3510,305,1279,2546,7464,2853,2338,2227,12559,5672,8790,5704,8877,"Cullman County, Alabama"
"4","0500000US01049","01049","DeKalb County, Alabama",72569,58067,634,275,332,11,9339,3911,977,2934,27182,18715,14118,4597,1525,3072,8467,7107,1360,48611,1772,84,1033,1349,918,1750,463,1067,15658,3364,3560,5092,5959,4553,1490,313,186,1682524100,29454,1209,576,2460,2315,108,1252,1759,5467,1610,2019,1459,7901,4086,5696,3139,8632,"DeKalb County, Alabama"
"5","0500000US01051","01051","Elmore County, Alabama",90441,65381,18189,297,69,8,1479,5018,1112,3906,33692,23625,18114,5511,1412,4099,10067,8656,1411,63874,475,0,583,347,681,1117,1509,631,18208,3761,4356,8197,6429,12309,4612,348,311,3309415200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elmore County, Alabama"
"6","0500000US01055","01055","Etowah County, Alabama",103241,79234,15605,270,722,278,3030,4102,1369,2733,40027,27373,19191,8182,1932,6250,12654,10732,1922,72785,2784,0,204,638,729,1504,1503,2292,21128,3226,4437,13096,8114,7682,3411,1352,685,3369350700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Etowah County, Alabama"
"7","0500000US01069","01069","Houston County, Alabama",108462,69699,29753,61,1121,42,2248,5538,2758,2780,44880,29644,19332,10312,2215,8097,15236,13081,2155,75141,1069,153,324,1089,1165,1564,1983,2244,20470,4036,5989,10170,7689,10264,5177,1183,572,3454344500,49412,1041,1530,5865,3985,531,2236,2972,12605,4183,2788,2437,16911,8572,9671,4919,9339,"Houston County, Alabama"
"8","0500000US01073","01073","Jefferson County, Alabama",662895,317840,280575,763,12389,389,16133,34806,20325,14481,272648,168511,109657,58854,12452,46402,104137,84939,19198,449622,4788,363,2081,2746,4398,6017,10154,7321,96187,15755,23629,70638,40454,96217,43331,15905,9638,27600476300,312052,1154,5612,35632,25830,5825,24538,32763,79658,25596,16523,12775,139116,45228,61929,20962,44817,"Jefferson County, Alabama"
"9","0500000US01077","01077","Lauderdale County, Alabama",96814,79801,6850,522,1132,0,2639,5870,1172,4698,41199,27143,20838,6305,2050,4255,14056,11228,2828,65471,1299,0,225,1217,1236,821,545,1125,16870,4158,3574,9470,4164,11803,5630,1857,1477,3339498700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lauderdale County, Alabama"
"10","0500000US01081","01081","Lee County, Alabama",183215,122425,41665,2248,7682,119,1766,7310,4254,3056,74799,41645,31835,9810,2509,7301,33154,26214,6940,113445,1672,628,308,844,1033,1043,1903,1592,20054,5169,5596,14661,11700,27718,13281,2026,4217,6473531700,85585,523,2423,8585,4303,761,4937,10446,23382,7520,4061,4100,40519,12357,15290,5377,12042,"Lee County, Alabama"
